"Fiori ID","Description","Level Fit","Fit Description","Roles"
"F2769","Overview Inventory Management","1","Analytical/reporting",""
"F2137","Slow or Non-Moving Materials","1","Analytical/reporting",""
"F2899","Dead Stock Analysis","1","Analytical/reporting",""
"F1956","Inventory Turnover Analysis","1","Analytical/reporting",""
"F3366","Inventory Analysis Overview","1","Analytical/reporting",""
"F3749","Inventory KPI Analysis","1","Analytical/reporting",""
"W0055","Goods Movement Analysis","1","Analytical/reporting",""
"W0058","Physical Inventory Analysis","1","Analytical/reporting",""
"F6185","Analyze Stock in Date Range","1","Analytical/reporting",""
"F1422","Material Inventory Values – Balance Summary","1","Analytical/reporting",""
"F1595","Stock – Multiple Materials","2","Operational reporting/monitoring",""
"F1077","Material Documents Overview","2","Operational reporting/monitoring",""
"F0379A","Manage Physical Inventory Documents","2","Operational reporting/monitoring",""
"F0251","Manage Material Coverage","2","Operational reporting/monitoring",""
"F2358","Monitor Purchase Order Items","2","Operational reporting/monitoring",""
"F2139","Overdue Materials – Stock in Transit","2","Operational reporting/monitoring",""
"F2347","Overdue Materials – GR Blocked Stock","2","Operational reporting/monitoring",""
"F2416","Overview Inventory Processing","2","Operational reporting/monitoring",""
"F1076","Stock – Single Material","2","Operational reporting/monitoring",""
"F1423","Material Inventory Values – Line Items","2","Operational reporting/monitoring",""
