"Fiori ID","Description","Level Fit","Fit Description","Roles"
"F0683","Purchasing Spend","1","Analytical/reporting",""
"F1377","Spend Variance","1","Analytical/reporting",""
"F1378","Purchase Order Value","1","Analytical/reporting",""
"F0682","Invoice Price Variance","1","Analytical/reporting",""
"F0572","Off-Contract Spend","1","Analytical/reporting",""
"F0343","Overdue Purchase Order Items","1","Analytical/reporting",""
"F1662A","Operational Supplier Evaluation","1","Analytical/reporting",""
"F2017","Purchase Requisition-to-Order Cycle Time","1","Analytical/reporting",""
"F2012","Quantity Contract Consumption","1","Analytical/reporting",""
"F2013","Value Contract Consumption","1","Analytical/reporting",""
"F3192","Scheduling Agreement Consumption","1","Analytical/reporting",""
"F2358","Monitor Purchase Order Items","2","Operational reporting/monitoring",""
"F2424","Monitor Purchase Requisition Items","2","Operational reporting/monitoring",""
"F2423","Monitor Purchase Contract Items","2","Operational reporting/monitoring",""
"F1060A","Supplier Invoices List","2","Operational reporting/monitoring",""
"F2631","Supplier Invoice Items by Account Assignment","2","Operational reporting/monitoring",""
"F0712","Manage Supplier Line Items","2","Operational reporting/monitoring",""
"F0217","Track Supplier Invoices","2","Operational reporting/monitoring",""
